Tab Switches,Window Focus Changes,Copy Events,Cut Events,Paste Events,Full Screen Exits,Risk Level
6,12,3,2,5,0,73.06188143319507
19,14,4,0,0,3,117.18270771836882
14,6,0,2,1,3,77.88303636796553
10,8,0,8,2,1,73.91032779435228
7,5,4,1,2,0,45.73603694936857
6,9,5,0,4,4,81.25065321411655
18,1,4,6,4,3,93.12337758473208
10,11,1,6,0,1,80.23622265658572
10,14,8,4,10,3,121.21734310045461
3,9,4,1,2,4,63.035920856026834
7,14,4,0,4,4,96.4813228399583
2,9,9,4,5,0,58.45665168417184
1,12,8,9,16,3,107.46897497302915
11,8,2,3,2,4,88.3252143733504
5,6,4,8,0,2,56.33090296980815
1,10,4,4,4,4,68.58198868294969
0,0,1,9,7,4,46.708113299975224
11,11,3,1,3,3,87.03761692845109
11,8,1,3,4,4,89.96133451757244
16,1,4,8,10,1,89.58512384972767
9,3,9,7,8,4,92.92335008898536
15,8,1,2,1,2,80.62830293291378
14,3,9,7,5,4,100.21269061960128
14,2,8,1,4,0,69.9524485694343
18,0,9,2,9,3,101.55080265590205
11,6,5,4,4,2,81.76134399137572
19,14,7,9,10,1,143.87946704525987
2,5,8,9,0,4,58.07693186019868
4,9,7,7,0,4,76.13305834620496
18,3,4,0,1,1,75.616978720128
6,5,4,3,5,4,69.24355091161846
8,5,5,0,2,0,48.746892313281336
6,12,0,0,0,2,58.19785874191217
17,3,7,4,11,4,114.53180364811638
3,13,1,5,0,1,59.3272481143674
13,12,5,0,2,1,92.8044787112267
17,5,8,5,6,2,102.3935537947426
8,9,2,4,1,0,59.66728588280904
1,10,1,3,3,2,53.64154244544639
19,7,9,9,18,4,154.41935995213925
14,12,4,4,7,0,103.0395828436643
6,2,8,7,12,0,62.01521597228624
11,3,5,8,13,1,90.87315340828826
7,9,7,1,0,0,57.57624376336826
14,12,7,5,4,4,123.00329426959085
2,11,6,2,0,4,63.10553571577147
13,13,4,1,3,4,105.12754135877779
16,14,1,0,0,3,105.616042880829
3,0,9,3,6,0,36.41183077600112
17,3,9,7,4,0,86.09013456799366
7,10,4,2,5,4,89.36769166016504
3,9,6,4,10,1,74.96261951488593
1,9,6,9,14,0,77.33199909404274
5,11,1,4,2,3,73.20653700876017
9,13,6,4,2,0,82.19120569930811
3,8,5,8,6,2,69.37040982722323
17,7,6,7,6,3,114.48925135159246
11,10,7,7,6,1,94.75153822553055
1,3,3,0,1,3,31.030541065277887
9,11,0,0,0,3,76.02872839909351
3,6,7,1,1,0,37.6742377369373
13,9,7,7,10,3,116.32487621166135
15,2,2,9,11,4,107.09846202636999
14,8,2,0,0,3,84.15979931386084
7,9,4,3,3,0,61.969400829102774
13,3,2,8,6,4,91.70212913855673
7,1,4,1,2,1,39.83189577975981
15,9,7,2,4,2,102.73791423276779
12,4,0,5,1,3,71.40217131830752
17,1,1,9,0,4,83.61593217924577
14,13,1,2,0,4,104.1571450144731
12,9,3,3,4,1,82.38570032441315
8,5,8,8,7,1,75.09402778725111
14,10,1,8,6,2,105.7958655312042
