WPM Intervals,Label
67 67 67 66 67 68 66 68 68 67 68 68 66 67 67 67 68 68 66 68 68 66 66 67 66 66 68 68 66 68 67 68 67 66 68 67 66 67 66 68 66 66 68 67 66 67 68 68 68 68 68 66 67 67 66 66 67 67 66 66 67 67 67 68 67 68 68 67 68 66 68 68 67 68 67 66 68 66 67 67 68 66 67 66 68 68 67 67 67 67 68 66 68 67 67 66 66 68 68 67 68 66 68 68 68 68 68 68 67 67 66 68 66 67 67 66 66 67 66 66 68 67 67 66 68 66 67 68 66 66 68 68 66 67 66 67 68 68 68 68 67 66,1
55 55 53 53 55 54 55 55 55 54 54 54 53 54 55 55 53 54 54 53 54 54 55 53 55 55 55 55 54 55 54 55 54 53 54 53 55 53 53 55 53 55 55 55 55 53 53 55 54 54 53 53 54 53 53 55 55 53 54 54 53 55 53 55 53 53 55 54 54 53 54 55 54 55 53 55 53 54 54 54 53 54 53 53 53 54 53 55 55 55 55 54 54 54 54 53 55 53 53 54 55 55 55 53 55 55 54 55 55 53 53 54 54 55 55 53 53 55 53 53 53 54 54 54 55 53 55 55 55 53 55 54 53 53 53 54 53 53 54 54 54 54 54 54 53 55 55 55 55 53 53 55 55 55 53 53 54 54 55 55 55 55 53 55 55 55 55 54 54 54 54 54 55 55 54 53 54 53 53 54 53 53 55 53 54 55 53 54 53 53 54 54 53 55 54 54 53 55 54 53 54 55 53 55 54 53 54 54 55 53 54 55 55 54 55 54 55 54 54 54 54 54 54 55 53 53 55 55 55 53 54 54 54 55 54 53 55 53 54 55 53 55 53 54 53 55 55 53 54 55 54 55 55 54 53 54 53 53 54 53 55 53 55 54 55 55 55 53 53 54 55 55 55 55 55 55 53 53 53 53 54 53 53 54 54 55 54 55 53 55 53 53 53 55 53 53 55 54 54 55 54 55 55 54 54 54 53 53 54 53 53 54 55 53 55 55 55 55 54 54 53 53 53 55 55 54 55 54 54 53 55 54 53 53 55 54 54 54 55 53 53 54 53 54 53 53 53 55 53 53 55 54 55 54 54 54 55 55 55 54 54 54 53 55 55 53 55 55 53 54 54 53 53 53 54 55 54 53 54 55 54 55 55 55 55 54 54 54 55 54 54 55 54 53 55 55 54 53 53 55 53 55 53 54 55 53 55 53 53 54 54 54 53 54 54 54 55 54 53 55 55 54 54 53 54 53 54 53 54 53 55 55 55 55 55 55 54 55 53 55 54 53 53 54 53 53 53 53 54 53 55 55 53 54 55 55 53 53 55 55 55 53 53 54 53 54 54 53 54 54 53 53 55 53 55 55 55 55 55 55 54 53 53 54 54 55 55 55 53 54 55 53 55 53 54 53 53 55 53 55 54 55 53 54 54 53 53 54 54 55 53 54 54 55 54 53 53 53 55 54 53 55 53 54 54 53 55 54 55 53 54 53 54 55 55 55 55 53 55 53 53 55 53 55 54 53 54 54 54 53 55 54 55 53 55 53 53 55 55 54 54 54 53 55 53 55 54 54 54 53 54 53 54 55 53 54 54 54 54 55,1
50 52 51 50 50 51 51 51 51 52 51 52 50 52 51 52 50 52 52 52 51 51 50 50 51 50 50 52 50 52 51 51 51 51 50 52 50 52 50 50 50 51 52 50 51 51 50 52 51 51 51 50 52 50 50 52 52 51 50 51 50 50 50 51 52 52 50 51 51 51 51 52 51 51 51 50 50 51 50 51 50 51 51 50 50 50 50 50 50 51 51 50 52 51 52 52 50 52 50 52 52 51 50 50 50 51 51 50 50 51 50 51 50 50 52 50 52 51 50 52 52 50 51 51 51 52 51 51 50 50 50 52 50 51 52 52 50 51 50 51 51 50 51 51 50 51 51 50 52 50 50 52 50 52 51 50 50 50 50 51 51 52 52 51 51 50 50 52 52 51 50 52 50 52 52 52 51 50 50 51 51 50 52 50 51 52 50 51 50 52 51 51 50 50 51 50 50 50 51 50 52 52 52 52 52 51 50 52 52 52 50 50 50 52 52 52 52 52 52 50 50 50 51 51 52 51 51 52 52 51 52 52 52 52 51 50 51 51 52 51 50 50 50 52 52 51 52 50 51 51 50 51 51 51 52 50 50 52 52 52 51 52 51 51 52 51 52 51 50 50 52 52 51 52 51 50 50 50 52 52 51 50 51 50 50 50 51 52 51 52 50 51 51 51 51 51 50 52 52 50 52 52 52 52 51 50 50 50 52 51 52 50 51 50 51 52 52 51 50 51 51 52 50 50 51 50 52 50 52 52 51 52 50 50 50 52 50 50 51 51 52 50 52 51 51 52 52 52 52 51 52 50 50 51 52 51 50 50 51 51 50 52 52 52 52 51 52 52 50 51 51 52 52 52 52 50 51 51 52 50 50 50 50 52 51 50 50 52 51 50 52 51 51 51 50 50 50 52 50 50 51 50 52 50 50 51 51 52 50 52 51 52 50 52 52 52 50 52 50 52 50 51 50 52 51 51 51 52 52 51 52 50 51 50 51 50 50 50 50 51 52 51 52 52 51 52 50 50 50 52 52 50 51 52 52 50 50 50 50 52 51 50 52 50 52 52 51 52 50 50 51 50 51 52 51 50 52 52 50 50 50 51 50 51 51 51 50 52 51 51 52 52 51 52 51 52 50 51 52 51 50 50 50 52 50 52 50 52 52 51 51 52 52 50 51 51 52 50 52 51 51 52 51 52 52 50 50 50 51 51 51 50 50 52 51 51 52 52 50 51 51 52 51 51 51 52 50 50 52 50 51 50 52 51 50 50 50 50 52 51 52 51 50 50 50 50 52 51 50 52 51 50 50 52 50 51 52,1
58 56 58 58 57 58 57 58 58 58 56 56 57 58 58 58 58 56 58 56 56 56 56 57 56 56 57 56 56 56 57 58 57 57 57 58 56 56 57 58 57 56 56 57 56 56 57 58 56 58 57 56 56 58 57 58 57 58 56 58 56 57 57 57 56 57 57 58 56 56 56 56 57 56 58 56 57 57 56 58 57 56 58 56 57 56 58 58 57 56 57 56 57 58 57 56 57 58 58 56 56 58 57 58 57 58 57 56 57 58 58 58 58 57 56 56 56 57 57 57 56 56 57 56 57 58 57 56 57 58 57 58 58 58 58 57 56 56 56 58 57 58 58 57 57 58 57 58 57 58 56 57 58 56 57 58 57 56 58 58 56 56 57 56 58 58 57 58 57 57 57 58 57 58 58 57 58 57 57 57 58 56 57 58 56 58 57 57 56 58 56 57 57 58 57 58 57 58 56 57 57 58 56 58 57 56 56 57 57 57 57 58 57 58 57 56 56 58 56 58 56 57 58 58 58 57 57 56 57 56 58 57 56 58 57 58 57 58 57 58 56 58 56 56 56 56 56 57 57 57 57 57 56 56 56 56 57 56 57 57 57 57 56 58 56 57 58 57 57 58 56 58 58 58 58 57 57 58 56 56 56 56 58 58 58 57 56 57 56 56 57 56 57 56 56 57 58 56 57 56 57 58 57 56 56 56 56 58 58 56 58 58 57 58 57 56 57 58 58 56 58 58 58 58 58 58 57 58 58 58 56 57 57 57 56 56 56 57 57 58 57 57 57 58 57 58 58 56 56 56 56 58 57 58 56 56 56 57 58 57 56 56 58 58 57 56 58 57 57 57 58 56 57 57 56 57 57 56 57 58 56 56 56 56 58 58 58 56 57 56 56 57 57 58 58 56 58 56 58 58 56 56 58 58 57 57 58 58 58 56 58 58 58 56 56 57 57 56 58 58 57 57 58 58 56 56 56 58 57 57 56 57 57 56 58 57 57 58 58 57 56 58 57 56 56 58 58 56 56 57 57 56 58 56 58 58 57 58 56 58 57 57 58 57 57 56 56 57 57 58 57 57 56 57 57 57 56 58 58 57 58 57 56 57 58 58 56,1
31 34 35 35 30 32 31 37 31 35 33 29 32 37 28 35 34 33 32 30 32 27 37 31 35 30 35 27 28 28 31 30 33 30 27 33 31 31 35 34 27 31 37 35 31 32 33 37 37 31 30 34 37 32 34 29 34 28 32 33 33 28 27 28 32 36 35 31 29 29 28 34 34 32 27 34 32 32 31 35 28 36 34 31 29 30 33 29 28 36 30 32 33 36 31 29 37 29 37 32 35 29 27 36 33 30 36 35 31 31 36 27 36 32 37 35 27 36 37 33 36 31 37 32 32 33 32 32 31 35 31 30 37 29 30 34 35 27 28 34 32 29 34 30 31 35 36 29 28 30 35 34 31 36 28 30 28 37 35 37 29 31 36 33 27 29 27 35 29 27 28 29 31 32 31 28 32 32 31 32 34 36 37 29 33 33 28 37 33 29 34 28 30 30 37 30 34 27 27 34 34 27 28 34 30 28 35 33 36 27 36 35 37 35 33 28 37 37 32 36 31 31 33 33 35 35 34 37 29 29 33 29 35 29 27 30 36 29 29 36 34 29 33 28 30 32 29 37 31 27 28 36 27 29 34 37 35 37 27 29 35 31 33 33 33 33 35 28 28 31 31 29 34 33 36 33 35 37 35 28 36 35 28 31 33 29 28 29 35 35 29 27 36 33 32 35 36 36 31 32 31 33 28 28 33 32 29 30 29 30 37 28 29 35 34 29 33 31 33 29 37 28 31 33 27 37 32 30 27 36 27 36 34 35 33 27 27 34 32 28 33 33 36 28 37 27 37 27 31 28 29 32 32 36 29 34 35 35 29 33 35 28 37 29 33 31 31 28 29 27 34 31 37 31 27 34 30 35 34 30 37 27 34 29 30 37 33 36 28 32 33 37 30 31 31 37 32 30 32 30 29 36 28 37 33 27 29 27 27 36 29 31 34 32 35 30 37 29 29 29 33 33 29 27 33 34 37 32 29 32 29 35 34 29 35 32 33 34 28 37 36 28 37 35 29 32 35 34 36 31 35 31 32 32 35 29 32 28 37 37 30 33 37 36 34 34 29 30 28 35 27 32 35 33 30 32 34 32 34 36 27 28 29 34 34 33 31 29 33 28 37 34 31 36 27 29 36 30 32 37 32 27 31 31 29 36 28 28 33 33 27 28 28 35 33 33 33 33 30 31 30 34 34 36 31 29 32 29 35 31 37 31 36 37 37 31 31 30 37 36 37 35 36 36 34 34 37 36 30 27 37 29 27 36 35,0
62 64 63 64 63 62 62 63 62 62 63 63 62 64 62 64 63 64 63 64 62 63 64 62 62 64 62 64 62 64 63 64 64 63 63 63 64 63 64 62 62 64 62 64 64 64 62 63 62 63 63 63 62 62 63 64 63 63 62 63 62 64 62 63 63 63 62 63 64 64 64 64 62 64 62 63 62 63 64 62 63 63 63 62 64 63 64 63 63 64 63 63 64 62 63 62 62 62 63 63 62 62 63 64 63 62 64 62 63 64 63 62 62 64 63 64 62 62 64 63 62 64 63 62 62 63 63 63 62 63 64 64 64 63 64 63 64 63 63 64 64 62 63 62 63 63 63 62 62 63 63 63 62 62 62 64 63 64 62 62 63 62 64 63 64 64 62 64 62 64 62 64 64 63 63 63 62 64 62 63 62 64 62 62 63 63 62 63 63 64 62 62 62 63 62 62 63 63 62 63 62 63 64 63 64 64 64 62 63 62 62 63 63 62 63 62 62 63 63 64 63 62 63 62 64 64 63 64 62 63 62 63 64 62 64 64 62 62 62 62 63 63 64 62 62 62 62 62 64 63 63 62 64 64 63 63 62 64 64 63 62 63 64 63 62 64 63 64 64 62 62 62 62 62 63 63 64 62 64 64 62 63 63 62 63 62 62 63 62 64 62 64 63 63 62 62 64 62 63 62 64 62 62 62 64 62 62 64,1
36 39 42 43 42 36 35 34 37 41 42 40 34 42 40 36 39 35 42 40 39 37 43 40 44 43 36 35 35 35 42 43 40 41 43 38 42 34 36 38 42 44 36 44 40 39 39 44 42 40 35 34 43 39 38 40 43 41 40 42 42 35 35 39 39 34 41 37 43 35 38 34 44 36 35 42 44 40 44 36 41 36 39 40 40 43 37 35 34 38 40 36 35 42 44 37 38 35 34 41 35 36 44 37 42 37 40 43 38 41 39 36 40 41 35 42 38 44 42 44 41 36 38 34 36 44 37 38 43 41 36 34 37 34 35 43 36 37 38 39 36 44 39 42 36 38 36 35 42 39 34 40 44 40 40 43 36 39 37 35 39 36 34 44 39 41 36 38 39 40 42 39 39 36 36 39 42 41 36 35 35 38 42 40 35 35 36 39 36 42 34 38 43 37 35 34 40 37 39 34 42 41 40 43 37 36 39 37 41 42 40 34 37 40 44 34 36 43 44 37 35 41 34 41 34 44 38 41 37 37 35 39 39 43 34 42 38 36 36 39 43 42 38 37 37 38 43 39 42 41 37 43 40 39 35 41 42 40 42 40,0
70 68 68 69 68 70 68 69 68 68 70 68 70 68 68 69 70 70 70 68 70 70 69 70 68 70 69 70 68 68 70 70 69 68 69 70 69 68 69 69 68 68 70 70 69 70 70 70 70 68 69 69 69 69 68 70 70 69 68 69 70 70 69 70 70 68 70 69 69 69 68 68 70 69 69 70 69 68 68 69 69 70 69 69 69 68 70 70 68 69 70 68 69 68 69 68 70 69 70 70 69 69 68 68 68 69 68 70 70 69 69 69 68 70 68 69 70 70 70 69 68 68 70 68 70 69 68 69 69 70 70 69 70 69 69 69 69 68 70 68 68 68 68 69 69 70 68 68 70 70 68 69 70 70 69 68 70 68 69 70 69 68 70 69 68 69 68 68 70 69 69 68 70 68 70 69 70 70 68 69 70 68 68 70 68 70 68 70 69 68 70 68 69 69 70 69 70 70 70 69 70 70 68 69 68 68 69 70 70 69 70 70 70 68 68 70 69 68 68 69 70 70 68 70 70 68 68 69 69 70 69 70 69 69 70 70 68 69 69 70 68 70 69 69 70 69 70 70 70 68 69 68 70 68 70 69 70 70 68 70 68 69 69 69 69 69 69 70 68 68 70 69 68 70 68 68 69 70 69 70 70 69 68 70 68 70 68 69 70 68 69 69 68 68 68 69 70 69 70 70 69 69 69 68 70 70 70 69 70 70 70 68 68 70 68 69 68 68 68 68 70 69 70 69 69 68 70 68 69 69 70 69 69 68 70 70 70 70 68 69 69 68 70 69 70 68 70 70 68 68 70 70 69 70 70 69 69 70 69 68 70 70 68 70 69 69 69 68 70 70 69 68 69 70 69 68 70 68 69 70 70 69 69 70 68 70 68 68 70 70 70 68 69 70 68 70 68 68 69 68 69 68 69 69 69 70 69 68 70 68 68 68 69 70 68 68 69 69 69 69 68 69 70 69 68 68 68 70 69 70 68 69 70 69 68 69 70 70 68 70 70 70 69 70 70 69 69 68 68 68 70 69 68 69 70 70 70 69 69 69 69 69 69 69 69 70 69 68 70 69 68 69 68 68 70 70 70 68 70 70 68 69 69 70 68 68 69 68 70 70 69 68 70 69 70 69 70 70 70 68 70 68 69 70 69 68 68 68 69 69 70 69 68 70 68 69 70 68 69 68 69 68 70 69 69 69 70 69 70 68 68 69 70 70 68 69 70 70 68 69 68 70 70 68 68 68 68 69 68 70 70 70 68 70 69 69 69 70 68 68 69 68 70 69 68 69 68 70,1
63 63 65 63 65 65 65 64 65 65 65 64 65 64 65 63 64 64 63 63 64 65 64 64 64 63 63 64 65 64 65 64 63 65 65 65 63 63 63 65 63 63 63 63 64 65 64 64 63 63 64 65 65 63 65 64 63 65 63 65 65 65 63 65 65 65 64 64 64 64 63 63 65 63 65 63 63 65 65 63 65 63 65 65 64 64 64 64 63 65 65 65 65 63 65 64 65 65 64 63 65 63 63 64 64 65 65 64 64 65 63 63 63 64 64 65 64 64 65 64 64 63 63 63 63 63 63 65 64 65 63 64 64 63 65 63 64 63 64 63 64 65 64 63 63 63 63 65 65 65 65 65 64 65 63 64 64 65 63 64 64 64 64 65 63 63 64 63 63 63 64 65 65 63 65 64 64 64 65 64 63 65 64 63 64 64 65 64 65 64 63 64 65,1
57 59 57 58 58 58 58 59 57 59 59 58 59 59 58 59 58 57 57 57 59 57 58 58 59 57 57 57 59 59 59 58 58 58 57 57 58 58 59 59 57 58 58 57 59 57 58 58 58 59 58 58 57 57 57 57 59 59 58 58 57 58 57 58 58 57 57 57 59 59 58 58 58 59 59 57 58 57 59 58 59 58 59 59 57 59 57 59 57 58 59 58 59 57 59 57 58 59 58 58 59 57 58 59 57 59 58 59 57 57 59 58 58 57 57 57 58 59 58 59 57 59 59 57 57 57 57 57 57 58 58 58 57 57 58 59 57 58 59 58 59 57 58 58 59 58 58 57 57 59 59 57 58 58 57 57 57 57 57 59 57 57 58 57 59 59 57 58 57 57 59 59 59 59 58 59 57 58 59 58 57 59 58 58 57 58 59 59 57 59 58 59 58 58 59 59 57 58 58 57 57 59 59 57 58 57 57 57 59 57 58 57 58 59 58 57 57 59 59 58 57 59 57 59 58 59 59 57 57 57 58 57 58 58 58 57 58 58 57 58 57 58 58 59 57 57 57 57 59 58 59 59 59 57 59 57 58 59 59 57 57 57 58 57 57 59 58 57 59 58 57 57 59 58 57 59 59 59 57 59 59 57 59 59 57 59 57 58 58 58 59 59 57 59,1
